"level_id","n_clusters","cluster_size","icc","mu","model_type","n_reps","var_delta","bias_delta","mse_delta","ci_coverage","conv_rate","tau","mean_outcome"
115,76,100,0.01,-3.34563464615371,"log",100,0.0125183273603199,-0.00965678678547723,0.0124863976177369,0.95,0.55,0.100503781525921,0.0354162635827579
116,100,100,0.01,-3.34563464615371,"log",100,0.0100730447272773,-0.000238450138812809,0.00997237113847324,0.93,0.45,0.100503781525921,0.0354162635827579
117,10,500,0.01,-3.34563464615371,"log",100,0.0206619665868316,0.0066133567556139,0.0204990834085403,0.92,0.42,0.100503781525921,0.0354162635827579
118,26,500,0.01,-3.34563464615371,"log",100,0.0084445571723821,0.0167547726555329,0.00864083400739687,0.92,0.65,0.100503781525921,0.0354162635827579
119,76,500,0.01,-3.34563464615371,"log",100,0.00245310623721032,-0.00417252049986471,0.00244598510216001,0.97,0.87,0.100503781525921,0.0354162635827579
120,100,500,0.01,-3.34563464615371,"log",100,0.00205408656290429,0.00117192478346778,0.00203491910497335,0.95,0.89,0.100503781525921,0.0354162635827579
121,10,10,0.05,-3.34563464615371,"log",100,67.5285701957788,3.50341034746906,79.0684480607519,0.945652173913043,0.0869565217391304,0.229415733870562,0.0361774654024639
122,26,10,0.05,-3.34563464615371,"log",100,4.00080757811802,0.25051276685217,4.02355614869277,0.96,0.26,0.229415733870562,0.0361774654024639
123,76,10,0.05,-3.34563464615371,"log",100,0.107261110224604,-0.0357674552700322,0.107467809978851,0.92,0.38,0.229415733870562,0.0361774654024639
124,100,10,0.05,-3.34563464615371,"log",100,0.0797190372989119,0.048838969503003,0.081299039440028,0.97979797979798,0.494949494949495,0.229415733870562,0.0361774654024639
125,10,20,0.05,-3.34563464615371,"log",100,0.457847757193541,-0.0122614181337563,0.453419621996256,0.94,0.26,0.229415733870562,0.0361774654024639
126,26,20,0.05,-3.34563464615371,"log",100,0.243310444737041,0.103252874278682,0.25153849633648,0.96,0.44,0.229415733870562,0.0361774654024639
127,76,20,0.05,-3.34563464615371,"log",100,0.0658555845138661,0.0100277820455105,0.0652975850814797,0.94,0.52,0.229415733870562,0.0361774654024639
128,100,20,0.05,-3.34563464615371,"log",100,0.040482970347691,0.00743145500467553,0.0401333671677006,0.98,0.6,0.229415733870562,0.0361774654024639
129,10,50,0.05,-3.34563464615371,"log",100,0.203663306595761,-0.0419772609494939,0.203388763966625,0.94,0.28,0.229415733870562,0.0361774654024639
130,26,50,0.05,-3.34563464615371,"log",100,0.0777294503144531,0.0297955344803375,0.0778399296862775,0.97,0.6,0.229415733870562,0.0361774654024639
131,76,50,0.05,-3.34563464615371,"log",100,0.025552482981255,0.0121745829052776,0.0254451786203599,0.99,0.69,0.229415733870562,0.0361774654024639
132,100,50,0.05,-3.34563464615371,"log",100,0.0201188190703955,0.0138700986136093,0.0201100105152428,0.93,0.71,0.229415733870562,0.0361774654024639
133,10,100,0.05,-3.34563464615371,"log",100,0.121444437951002,-0.000550438473287403,0.120230296554005,0.9,0.43,0.229415733870562,0.0361774654024639
134,26,100,0.05,-3.34563464615371,"log",100,0.0423811417542034,-0.00786073380903436,0.0420191214726779,0.97,0.63,0.229415733870562,0.0361774654024639
135,76,100,0.05,-3.34563464615371,"log",100,0.0149244323343285,-0.0164566780682039,0.0150460102640258,0.92,0.89,0.229415733870562,0.0361774654024639
136,100,100,0.05,-3.34563464615371,"log",100,0.00881096016398979,-0.00789139656865599,0.00878512470215369,0.98,0.92,0.229415733870562,0.0361774654024639
137,10,500,0.05,-3.34563464615371,"log",100,0.0396087239608843,-0.0263502815741841,0.0399069740603143,0.86,0.78,0.229415733870562,0.0361774654024639
138,26,500,0.05,-3.34563464615371,"log",100,0.0145967800073066,0.0014934924276951,0.0144530427268651,0.93,0.99,0.229415733870562,0.0361774654024639
139,76,500,0.05,-3.34563464615371,"log",100,0.0041196988000416,0.0134301245781211,0.00425887005822503,0.97,1,0.229415733870562,0.0361774654024639
